time,chip_id,VoltCorner,temp,p20v33_ds,osc_ds,freq(MHz),C2C_jitter(ps),Period_jitter(ps),RJ(ps)
2025-02-06 17:03:29,40,NN,RT,0x0,0x0,23.99984,71.73,41.47,25.0
2025-02-06 17:03:52,40,NN,RT,0x1,0x0,24.00005,225.83,130.42,49.0
2025-02-06 17:04:15,40,NN,RT,0x0,0x1,23.99977,69.1,39.95,27.0
2025-02-06 17:04:38,40,NN,RT,0x1,0x1,23.99996,216.84,125.23,64.0
2025-02-06 17:05:02,40,NN,RT,0x0,0x2,23.99973,67.73,39.16,27.0
2025-02-06 17:05:25,40,NN,RT,0x1,0x2,23.99992,210.87,121.79,69.0
2025-02-06 17:05:48,40,NN,RT,0x0,0x3,23.99972,67.12,38.81,27.0
2025-02-06 17:06:57,40,NN,RT,0x1,0x3,23.99991,209.95,121.27,69.0
2025-02-06 17:07:20,40,NN,RT,0x0,0x4,23.99991,210.6,121.64,70.0
2025-02-06 17:07:43,40,NN,RT,0x1,0x4,23.99991,210.45,121.55,69.0
2025-02-06 17:08:06,40,NN,RT,0x0,0x5,23.99991,210.06,121.32,69.0
2025-02-06 17:08:29,40,NN,RT,0x1,0x5,23.99991,210.21,121.42,69.0
2025-02-06 17:08:52,40,NN,RT,0x0,0x6,23.99991,210.27,121.45,70.0
2025-02-06 17:09:15,40,NN,RT,0x1,0x6,23.99991,210.19,121.4,70.0
2025-02-06 17:09:39,40,NN,RT,0x0,0x7,23.99991,210.14,121.37,69.0
2025-02-06 17:10:02,40,NN,RT,0x1,0x7,23.99991,210.37,121.51,69.0
2025-02-06 17:15:42,20,NN,RT,0x0,0x0,23.99984,77.32,44.68,26.0
2025-02-06 17:16:05,20,NN,RT,0x1,0x0,24.00007,235.6,136.06,53.0
2025-02-06 17:16:28,20,NN,RT,0x0,0x1,23.99977,75.12,43.41,29.0
2025-02-06 17:16:51,20,NN,RT,0x1,0x1,23.99999,230.38,133.05,70.0
2025-02-06 17:17:14,20,NN,RT,0x0,0x2,23.99974,73.08,42.22,30.0
2025-02-06 17:17:37,20,NN,RT,0x1,0x2,23.99994,224.46,129.64,75.0
2025-02-06 17:18:01,20,NN,RT,0x0,0x3,23.99973,73.21,42.3,30.0
2025-02-06 17:19:00,20,NN,RT,0x1,0x3,23.99993,223.65,129.17,76.0
2025-02-06 17:19:24,20,NN,RT,0x0,0x4,23.99972,73.68,42.57,30.0
2025-02-06 17:19:47,20,NN,RT,0x1,0x4,23.99993,224.59,129.72,76.0
2025-02-06 17:20:10,20,NN,RT,0x0,0x5,23.99972,73.54,42.51,30.0
2025-02-06 17:20:33,20,NN,RT,0x1,0x5,23.99993,224.36,129.58,76.0
2025-02-06 17:20:56,20,NN,RT,0x0,0x6,23.99973,73.78,42.64,30.0
2025-02-06 17:21:19,20,NN,RT,0x1,0x6,23.99993,223.41,129.03,76.0
2025-02-06 17:21:42,20,NN,RT,0x0,0x7,23.99973,73.54,42.5,30.0
2025-02-06 17:22:05,20,NN,RT,0x1,0x7,23.99993,222.93,128.76,76.0
2025-02-06 17:26:01,60,NN,RT,0x0,0x0,23.99984,75.97,43.9,26.0
2025-02-06 17:26:24,60,NN,RT,0x1,0x0,24.00006,230.65,133.2,51.0
2025-02-06 17:26:47,60,NN,RT,0x0,0x1,23.99977,72.45,41.88,28.0
2025-02-06 17:27:10,60,NN,RT,0x1,0x1,23.99997,223.51,129.08,67.0
2025-02-06 17:27:33,60,NN,RT,0x0,0x2,23.99973,70.32,40.64,28.0
2025-02-06 17:27:57,60,NN,RT,0x1,0x2,23.99993,217.37,125.55,72.0
2025-02-06 17:28:20,60,NN,RT,0x0,0x3,23.99973,70.12,40.54,29.0
2025-02-06 17:28:54,60,NN,RT,0x1,0x3,23.99992,217.65,125.71,73.0
2025-02-06 17:29:17,60,NN,RT,0x0,0x4,23.99972,71.01,41.04,29.0
2025-02-06 17:29:40,60,NN,RT,0x1,0x4,23.99992,218.17,126.01,74.0
2025-02-06 17:30:03,60,NN,RT,0x0,0x5,23.99972,70.92,41.0,29.0
2025-02-06 17:30:26,60,NN,RT,0x1,0x5,23.99992,217.18,125.44,73.0
2025-02-06 17:30:49,60,NN,RT,0x0,0x6,23.99972,70.76,40.89,29.0
2025-02-06 17:31:12,60,NN,RT,0x1,0x6,23.99992,216.35,124.96,73.0
2025-02-06 17:31:36,60,NN,RT,0x0,0x7,23.99972,70.71,40.87,29.0
2025-02-06 17:31:59,60,NN,RT,0x1,0x7,23.99992,215.55,124.5,73.0
